product_name,product_image_urls,sales_price,retail_price,product_url,brand
BDG RU Slouchy Skate Jean - Ombre Wash,https://images.urbndata.com/is/image/UrbanOutfitters/80100910_002_b?$medium$&qlt=80&fit=constrain,9.99,20.00,https://www.urbanoutfitters.com/shop/bdg-ru-slouchy-skate-jean-ombre-wash?category=womens-clothing-sale&color=002,Urban Outfitters
Mesh Hand Chain Bracelet,https://images.urbndata.com/is/image/UrbanOutfitters/81323636_007_b?$medium$&qlt=80&fit=constrain,49.99,69.00,https://www.urbanoutfitters.com/shop/mesh-hand-chain-bracelet?category=womens-clothing-sale&color=007,Urban Outfitters
UO Darci Washed Denim Shoulder Bag,https://images.urbndata.com/is/image/UrbanOutfitters/79579355_011_b?$medium$&qlt=80&fit=constrain,9.99,9.99,https://www.urbanoutfitters.com/shop/uo-darci-washed-denim-shoulder-bag?category=womens-clothing-sale&color=011,Urban Outfitters
UO Fallon Open-Back Button-Down Top,https://images.urbndata.com/is/image/UrbanOutfitters/81504037_010_b?$medium$&qlt=80&fit=constrain,49.99,69.00,https://www.urbanoutfitters.com/shop/uo-fallon-open-back-button-down-top?category=womens-clothing-sale&color=010,Urban Outfitters
Dakota Denim Crossbody Bag,https://images.urbndata.com/is/image/UrbanOutfitters/79579397_230_b?$medium$&qlt=80&fit=constrain,39.99,49.00,https://www.urbanoutfitters.com/shop/dakota-denim-crossbody-bag?category=womens-clothing-sale&color=230,Urban Outfitters
GEORGE GINA & LUCY Sweet Petite Crossbody Bag,https://images.urbndata.com/is/image/UrbanOutfitters/78183134_062_b?$medium$&qlt=80&fit=constrain,79.99,109.00,https://www.urbanoutfitters.com/shop/george-gina-and-lucy-sweet-petite-crossbody-bag?category=womens-clothing-sale&color=062,Urban Outfitters
Pointelle Crew Sock 2-Pack,https://images.urbndata.com/is/image/UrbanOutfitters/81602773_018_b?$medium$&qlt=80&fit=constrain,9.99,20.00,https://www.urbanoutfitters.com/shop/pointelle-crew-sock-2-pack?category=womens-clothing-sale&color=018,Urban Outfitters
Levi’s® 501 Mid-Thigh Classic Denim Short,https://images.urbndata.com/is/image/UrbanOutfitters/79334090_092_b?$medium$&qlt=80&fit=constrain,39.99,69.00,https://www.urbanoutfitters.com/shop/levis-501-mid-thigh-classic-denim-short?category=womens-clothing-sale&color=092,Urban Outfitters
UO Jordyn Textured Flyaway Top,https://images.urbndata.com/is/image/UrbanOutfitters/80314974_010_b?$medium$&qlt=80&fit=constrain,64.99,89.00,https://www.urbanoutfitters.com/shop/uo-jordyn-textured-flyaway-top?category=womens-clothing-sale&color=010,Urban Outfitters
Out From Under Allie Ruched Shrug,https://images.urbndata.com/is/image/UrbanOutfitters/80404908_054_b?$medium$&qlt=80&fit=constrain,19.99,35.00,https://www.urbanoutfitters.com/shop/out-from-under-allie-ruched-shrug?category=womens-clothing-sale&color=054,Urban Outfitters
Glass Flower Wrap Bracelet and Necklace,https://images.urbndata.com/is/image/UrbanOutfitters/81982258_040_b?$medium$&qlt=80&fit=constrain,4.99,10.00,https://www.urbanoutfitters.com/shop/glass-flower-wrap-bracelet-and-necklace?category=womens-clothing-sale&color=040,Urban Outfitters
UO Raya Mesh Ruffle Midi Dress,https://images.urbndata.com/is/image/UrbanOutfitters/80766280_009_b?$medium$&qlt=80&fit=constrain,39.99,79.00,https://www.urbanoutfitters.com/shop/uo-raya-mesh-ruffle-midi-dress?category=womens-clothing-sale&color=009,Urban Outfitters
UO Martina Low-Rise Trouser Pant,https://images.urbndata.com/is/image/UrbanOutfitters/79391918_016_b?$medium$&qlt=80&fit=constrain,39.99,59.00,https://www.urbanoutfitters.com/shop/uo-martina-low-rise-trouser-pant?category=womens-clothing-sale&color=016,Urban Outfitters
UO Chantel Faux Leather Trench Coat,https://images.urbndata.com/is/image/UrbanOutfitters/78758034_001_b?$medium$&qlt=80&fit=constrain,99.99,199.00,https://www.urbanoutfitters.com/shop/uo-chantel-faux-leather-trench-coat?category=womens-clothing-sale&color=001,Urban Outfitters
GEORGE GINA & LUCY Bigster Tote Bag,https://images.urbndata.com/is/image/UrbanOutfitters/78182995_001_b?$medium$&qlt=80&fit=constrain,129.99,182.00,https://www.urbanoutfitters.com/shop/george-gina-and-lucy-bigster-tote-bag?category=womens-clothing-sale&color=001,Urban Outfitters
