product_url,product_image_urls,product_name,sales_price,retail_price,brand
https://www.nordstromrack.com/s/clinique-moisture-surge-face-spray-thirsty-skin-relief/2841261?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=000,https://n.nordstrommedia.com/id/sr3/4beb64d7-2559-4d64-893d-ef74f04597ce.jpeg?h=365&w=240&dpr=2,Moisture Surge Face Spray Thirsty Skin Relief,6.80,8.00,Nordstrom Rack
https://www.nordstromrack.com/s/90-degree-by-reflex-carbon-interlink-crossover-ankle-leggings/7179769?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=616,https://n.nordstrommedia.com/id/sr3/315fb72f-7047-435c-9ee5-2dc797c9f258.jpeg?h=365&w=240&dpr=2,Carbon Interlink Crossover Ankle Leggings,16.48 – 26.97,78.00,Nordstrom Rack
https://www.nordstromrack.com/s/too-faced-lip-injection-maximum-plump-extra-strength-lip-plumper/5805920?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=000,https://n.nordstrommedia.com/id/sr3/8678f00c-aa18-46ec-a6bd-e80fda6037b8.jpeg?h=365&w=240&dpr=2,Lip Injection Maximum Plump Extra Strength Lip Plumper,15.30 – 28.05,18.00 – 33.00,Nordstrom Rack
https://www.nordstromrack.com/s/sam-edelman-leona-mule-women/6759111?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=900,https://n.nordstrommedia.com/id/sr3/3aa2e2fe-9a5d-4354-8035-fed23f4a0f0b.jpeg?h=365&w=240&dpr=2,Leona Mule (Women),32.48 – 48.73,130.00,Nordstrom Rack
https://www.nordstromrack.com/s/vince-camuto-lightweight-knit-topper/6876710?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/18d7fe62-f241-42c5-8ae3-513724659a69.jpeg?h=365&w=240&dpr=2,Lightweight Knit Topper,14.98 – 19.99,68.00,Nordstrom Rack
https://www.nordstromrack.com/s/urban-decay-all-nighter-long-lasting-makeup-setting-spray/4570927?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=000,https://n.nordstrommedia.com/id/sr3/ddb94013-bdd6-4063-89e4-de83ab5dcf10.jpeg?h=365&w=240&dpr=2,All Nighter Long-Lasting Makeup Setting Spray,30.60,36.00,Nordstrom Rack
https://www.nordstromrack.com/s/long-sleeve-ribbed-cropped-cardigan/6137672?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=211,https://n.nordstrommedia.com/id/sr3/bc7f4dcd-7754-4e73-927b-92f1995cba8f.jpeg?h=365&w=240&dpr=2,Long Sleeve Ribbed Cropped Cardigan,19.99,29.97,Nordstrom Rack
https://www.nordstromrack.com/s/cory-leather-phone-crossbody-bag/6807399?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=210,https://n.nordstrommedia.com/id/sr3/39a38efb-d695-4680-8858-55ffe5167386.jpeg?h=365&w=240&dpr=2,Cory Leather Phone Crossbody Bag,34.98 – 69.97,158.00,Nordstrom Rack
https://www.nordstromrack.com/s/yogalicious-front-twist-long-sleeve-top/6507970?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=012,https://n.nordstrommedia.com/id/sr3/e0a23ee4-792e-4540-b7db-134abbc9093b.jpeg?h=365&w=240&dpr=2,Front Twist Long Sleeve Top,12.58 – 13.48,48.00,Nordstrom Rack
https://www.nordstromrack.com/s/bp-bp-sophie-criss-cross-plush-bedroom-slipper-women/5361817?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/3a4c8b22-9cb4-4de4-8fcb-2e8f93520757.jpeg?h=365&w=240&dpr=2,Sophie Criss Cross Plush Bedroom Slipper (Women),6.74 – 9.73,29.95,Nordstrom Rack
